latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42.809,-80.099,302.5,1.2,1.1,2019-08-01,0330,Terra,MODIS,50,6.0NRT,290.6,6.7,N
42.799,-80.097,301.3,1.2,1.1,2019-08-01,0330,Terra,MODIS,10,6.0NRT,290.8,5.3,N
53.249,-92.189,301.5,1.2,1.1,2019-08-01,0335,Terra,MODIS,41,6.0NRT,288.5,7.2,N
60.109,-99.417,311,1.4,1.2,2019-08-01,0335,Terra,MODIS,81,6.0NRT,283.5,20.8,N
52.636,-95.516,304,1.6,1.3,2019-08-01,0335,Terra,MODIS,29,6.0NRT,286.6,15.9,N
53.252,-92.172,327,1.2,1.1,2019-08-01,0335,Terra,MODIS,100,6.0NRT,293,34.6,N
53.608,-95.816,306.8,1.6,1.2,2019-08-01,0335,Terra,MODIS,69,6.0NRT,288.3,15.5,N
53.608,-95.81,307.1,1.6,1.2,2019-08-01,0335,Terra,MODIS,70,6.0NRT,288.8,17.2,N
50.679,-99.134,305.4,2.8,1.6,2019-08-01,0335,Terra,MODIS,64,6.0NRT,289.4,34.3,N
50.681,-99.142,303.3,2.8,1.6,2019-08-01,0335,Terra,MODIS,54,6.0NRT,289.3,29.1,N
49.247,-115.636,339.7,1.3,1.1,2019-08-01,0510,Terra,MODIS,100,6.0NRT,290.7,64.8,N
49.25,-115.62,328.4,1.3,1.1,2019-08-01,0510,Terra,MODIS,100,6.0NRT,289.7,41.1,N
64.382,-113.814,305.5,1.2,1.1,2019-08-01,0515,Terra,MODIS,25,6.0NRT,281.7,11.2,N
65.506,-117.736,306.6,1,1,2019-08-01,0515,Terra,MODIS,26,6.0NRT,285.9,9.7,N
66.05,-128.034,305.2,1.2,1.1,2019-08-01,0515,Terra,MODIS,63,6.0NRT,285.2,10.3,N
66.05,-128.028,306.6,1.2,1.1,2019-08-01,0515,Terra,MODIS,27,6.0NRT,285.1,10.5,N
52.938,-107.538,328,1.2,1.1,2019-08-01,0515,Terra,MODIS,100,6.0NRT,285.6,39.2,N
65.494,-117.751,308,1,1,2019-08-01,0515,Terra,MODIS,12,6.0NRT,286.1,10.2,N
