,acq_date,acq_time,brightness,latitude,longitude,precipType,precipProbability,precipIntensity,temperatureHigh,humidity,windSpeed,visibility,pressure,cloudCover
0,2019-04-25,1859,403.1,53.1008,-108.1783,1.0,0.04,0.0003,51.49,0.37,15.39,8.56,1020.92,0.1
1,2019-04-30,1925,404.5,51.1757,-101.4211,1.0,0.08,0.0006,49.16,0.45,7.22,10.0,1024.57,0.17
2,2019-05-12,612,406.4,57.0703,-117.8925,1.0,0.07,0.0001,63.85,0.42,13.43,10.0,1006.23,0.25
3,2019-05-12,2130,396.3,57.0456,-117.8545,1.0,0.06,0.0001,64.49,0.41,13.37,10.0,1006.16,0.26
4,2019-05-12,2130,396.5,57.0506,-117.864,1.0,0.06,0.0001,64.38,0.41,13.38,10.0,1006.17,0.26
5,2019-05-18,2053,442.9,58.32100000000001,-117.4611,1.0,0.03,0.0001,68.5,0.31,11.87,9.665,1014.72,0.66
6,2019-05-18,2053,397.9,58.333,-117.4439,1.0,0.03,0.0001,68.57,0.31,11.9,9.665,1014.74,0.66
7,2019-05-18,2053,420.1,58.3308,-117.4647,1.0,0.03,0.0001,68.52,0.31,11.9,9.665,1014.72,0.66
8,2019-05-18,2053,459.4,58.3549,-117.4381,1.0,0.03,0.0001,68.58,0.31,11.96,9.665,1014.75,0.66
9,2019-05-18,2053,462.3,58.3507,-117.4797,1.0,0.03,0.0001,68.53,0.31,11.96,9.665,1014.7,0.66
10,2019-05-18,2053,462.2,58.3647,-117.4417,1.0,0.03,0.0001,68.59,0.31,11.99,9.665,1014.74,0.66
11,2019-05-18,2053,415.3,58.3449,-117.4268,1.0,0.03,0.0001,68.59,0.31,11.93,9.665,1014.76,0.66
12,2019-05-18,2053,433.0,58.3471,-117.4136,1.0,0.03,0.0001,68.62,0.31,11.93,9.665,1014.78,0.66
13,2019-05-18,2053,505.1,58.3569,-117.4172,1.0,0.03,0.0001,68.61,0.31,11.96,9.665,1014.77,0.66
14,2019-05-18,2053,420.5,58.3205,-117.2657,1.0,0.04,0.0001,68.87,0.3,11.81,9.665,1014.93,0.66
15,2019-05-18,2053,504.5,58.3085,-117.2832,1.0,0.04,0.0001,68.82,0.3,11.78,9.665,1014.91,0.66
16,2019-05-18,2053,494.7,58.3106,-117.2621,1.0,0.04,0.0001,68.87,0.3,11.78,9.665,1014.93,0.66
17,2019-05-18,2053,467.2,58.2987,-117.2796,1.0,0.04,0.0001,68.82,0.3,11.76,9.665,1014.91,0.66
18,2019-05-18,2053,471.0,58.3008,-117.2586,1.0,0.04,0.0001,68.86,0.3,11.75,9.665,1014.93,0.66
19,2019-05-18,2053,449.0,58.2888,-117.276,1.0,0.04,0.0001,68.82,0.3,11.72,9.665,1014.91,0.66
20,2019-05-18,2053,419.6,58.2909,-117.255,1.0,0.04,0.0001,68.85,0.3,11.72,9.665,1014.93,0.66
21,2019-05-18,2053,399.1,58.2811,-117.2514,1.0,0.04,0.0001,68.86,0.3,11.69,9.665,1014.93,0.66
22,2019-05-18,2053,397.6,58.2684,-117.2856,1.0,0.04,0.0001,68.76,0.3,11.67,9.665,1014.9,0.66
23,2019-05-18,2053,459.6,58.3219,-117.3533,1.0,0.03,0.0001,68.73,0.3,11.84,9.665,1014.84,0.66
24,2019-05-18,2053,470.5,58.3197,-117.3742,1.0,0.03,0.0001,68.65,0.31,11.84,9.665,1014.82,0.66
25,2019-05-18,2053,417.5,58.3176,-117.3951,1.0,0.03,0.0001,68.57,0.31,11.84,9.665,1014.8,0.66
